source,target,km,days,expense,type,BREED
50136,50256,8.914,0.125,0.012,coastal,routes
50136,50322,6.401,0.213,0.224,road,routes
50136,50357,66.419,0.553,0.055,coastal,routes
50137,50083,80.862,2.695,2.83,road,routes
50137,50127,148.756,4.959,5.206,road,routes
50138,50141,74.476,2.483,2.607,road,routes
50138,50320,99.743,3.325,3.491,road,routes
50138,50545,16.068,0.536,0.562,road,routes
50139,50072,73.416,2.447,2.57,road,routes
50139,50428,102.466,3.416,3.586,road,routes
50139,50767,93.983,3.133,3.289,road,routes
50140,50080,122.77,4.092,4.297,road,routes
50140,50190,77.471,2.582,2.711,road,routes
50140,50215,112.332,3.744,3.932,road,routes
50140,50388,41.416,1.381,1.45,road,routes
50141,50112,296.771,9.892,10.387,road,routes
50141,50138,74.476,2.483,2.607,road,routes
50141,50545,104.584,1.007,0.101,coastal,routes
50141,50551,65.052,0.456,0.046,coastal,routes
50142,50059,125.776,4.193,4.402,road,routes
50142,50061,94.326,3.144,3.301,road,routes
50142,50115,185.679,6.189,6.499,road,routes
50143,50386,82.347,2.745,2.882,road,routes
50143,50466,77.055,2.569,2.697,road,routes
50143,50467,76.593,0.541,0.054,coastal,routes
50143,50549,75.976,0.404,0.04,coastal,routes
50144,50183,60.928,2.031,2.132,road,routes
50144,50772,26.521,0.884,0.928,road,routes
50145,50332,197.378,1.235,0.124,coastal,routes
50145,50379,82.659,0.495,0.049,coastal,routes
50146,50129,275.04,9.168,9.626,road,routes
50146,50247,130.91,4.364,4.582,road,routes
50146,50751,189.485,6.316,6.632,road,routes
50147,50156,815.571,5.58,0.558,overseas,routes
50147,50207,548.639,3.791,0.379,coastal,routes
50147,50240,242.11,1.382,0.138,coastal,routes
50147,50249,56.567,1.886,1.98,road,routes
50147,50421,64.287,2.143,2.25,road,routes
50148,50221,22.395,0.746,0.784,road,routes
50148,50222,69.677,2.323,2.439,road,routes
50149,50375,36.068,1.443,0.245,upstream,routes
50149,50392,87.076,2.903,3.048,road,routes
50150,50130,43.768,0.438,0.149,downstream,routes
50150,50258,252.036,8.401,8.821,road,routes
50150,50674,58.307,1.166,0.396,fastup,routes
50151,50345,58.514,1.95,2.048,road,routes
50151,50733,97.903,3.263,3.427,road,routes
50152,50731,30.262,1.009,1.059,road,routes
50153,50184,102.662,3.422,3.593,road,routes
50153,50340,362.735,12.091,12.696,road,routes
50153,50739,196.623,6.554,6.882,road,routes
50154,50079,132.58,1.105,0.451,fastdown,routes
50154,50375,57.614,1.92,2.016,road,routes
50154,50735,165.643,5.521,5.798,road,routes
50155,50119,74.594,4.973,0.507,upstream,routes
50156,50032,87.684,2.923,3.069,road,routes
50156,50121,654.507,4.32,0.432,overseas,routes
50156,50147,816.764,5.594,0.559,overseas,routes
50156,50207,586.558,4.177,0.418,coastal,routes
50156,50412,144.318,0.707,0.071,coastal,routes
50157,50054,55.971,1.866,1.959,road,routes
50157,50057,121.109,4.037,4.239,road,routes
50157,50063,121.054,4.035,4.237,road,routes
50157,50459,159.737,5.325,5.591,road,routes
50158,50276,172.693,11.513,1.174,upstream,routes
50158,50403,180.872,4.019,0.615,downstream,routes
50158,50769,120.236,4.008,4.208,road,routes
50159,50086,169.366,1.146,0.115,coastal,routes
50159,50469,75.988,0.611,0.061,coastal,routes
50159,50535,68.218,0.472,0.047,coastal,routes
50159,50750,34.517,1.151,1.208,road,routes
50160,50133,138.849,4.628,4.86,road,routes
50160,50232,103.619,3.454,3.627,road,routes
50160,50249,101.169,3.372,3.541,road,routes
50160,50303,73.306,0.611,0.249,fastdown,routes
50161,50067,39.775,1.326,1.392,road,routes
50161,50275,225.509,7.517,7.893,road,routes
50161,50338,51.924,1.731,1.817,road,routes
50161,50428,84.846,2.828,2.97,road,routes
50162,50050,30.972,0.195,0.019,coastal,routes
50162,50386,46.217,1.541,1.618,road,routes
